state/region,ages,year,population,state,area (sq. mi),pop_density
AK,total,2010,713868.0,Alaska,656425.0,1.087508854781582
WY,total,2010,564222.0,Wyoming,97818.0,5.768079494571551
MT,total,2010,990527.0,Montana,147046.0,6.736170994110687
ND,total,2010,674344.0,North Dakota,70704.0,9.537565059968319
SD,total,2010,816211.0,South Dakota,77121.0,10.58351162458993
NM,total,2010,2064982.0,New Mexico,121593.0,16.982737493112268
ID,total,2010,1570718.0,Idaho,83574.0,18.79433795199464
NE,total,2010,1829838.0,Nebraska,77358.0,23.65415341658264
NV,total,2010,2703230.0,Nevada,110567.0,24.44879575280147
UT,total,2010,2774424.0,Utah,84904.0,32.677188353905585
KS,total,2010,2858910.0,Kansas,82282.0,34.745266279380665
ME,total,2010,1327366.0,Maine,35387.0,37.50998954418289
OR,total,2010,3837208.0,Oregon,98386.0,39.00156526335048
CO,total,2010,5048196.0,Colorado,104100.0,48.49371757925072
OK,total,2010,3759263.0,Oklahoma,69903.0,53.77827847159635
IA,total,2010,3050314.0,Iowa,56276.0,54.20275072855213
AR,total,2010,2922280.0,Arkansas,53182.0,54.94866684216464
AZ,total,2010,6408790.0,Arizona,114006.0,56.214497482588634
MN,total,2010,5310337.0,Minnesota,86943.0,61.078373187030586
MS,total,2010,2970047.0,Mississippi,48434.0,61.321530329933516
VT,total,2010,625793.0,Vermont,9615.0,65.08507540301612
WV,total,2010,1854146.0,West Virginia,24231.0,76.51958235318394
USA,total,2010,309326295.0,United States,3790399.0,81.60784524267761
MO,total,2010,5996063.0,Missouri,69709.0,86.01562208610079
WI,total,2010,5689060.0,Wisconsin,65503.0,86.85189991298108
LA,total,2010,4545392.0,Louisiana,51843.0,87.67609899118493
AL,total,2010,4785570.0,Alabama,52423.0,91.28760276977663
TX,total,2010,25245178.0,Texas,268601.0,93.98765455080212
WA,total,2010,6742256.0,Washington,71303.0,94.55781664165603
MI,total,2010,9876149.0,Michigan,96810.0,102.01579382295218
KY,total,2010,4347698.0,Kentucky,40411.0,107.58699364034545
HI,total,2010,1363731.0,Hawaii,10932.0,124.7467069154775
NH,total,2010,1316614.0,New Hampshire,9351.0,140.7992728050476
SC,total,2010,4636361.0,South Carolina,32007.0,144.85459430749523
TN,total,2010,6356683.0,Tennessee,42146.0,150.82529777440325
GA,total,2010,9713248.0,Georgia,59441.0,163.40990225601857
NC,total,2010,9559533.0,North Carolina,53821.0,177.61715687185298
IN,total,2010,6489965.0,Indiana,36420.0,178.19783086216364
VA,total,2010,8024417.0,Virginia,42769.0,187.62227314176155
IL,total,2010,12839695.0,Illinois,57918.0,221.68747194309196
CA,total,2010,37333601.0,California,163707.0,228.051341726377
OH,total,2010,11545435.0,Ohio,44828.0,257.5496341572232
PA,total,2010,12710472.0,Pennsylvania,46058.0,275.9666507447132
FL,total,2010,18846054.0,Florida,65758.0,286.59712886644974
NY,total,2010,19398228.0,New York,54475.0,356.09413492427717
DE,total,2010,899711.0,Delaware,1954.0,460.4457523029683
MD,total,2010,5787193.0,Maryland,12407.0,466.44579672765377
MA,total,2010,6563263.0,Massachusetts,10555.0,621.8155376598768
CT,total,2010,3579210.0,Connecticut,5544.0,645.6006493506494
RI,total,2010,1052669.0,Rhode Island,1545.0,681.3391585760518
NJ,total,2010,8802707.0,New Jersey,8722.0,1009.2532675991745
PR,total,2010,3721208.0,Puerto Rico,3515.0,1058.6651493598863
DC,total,2010,605125.0,District of Columbia,68.0,8898.89705882353
